,体験受入法人等,代表者,所在地,ホームページ,売上高,従業員数,経営主作目・事業内容,経営理念と将来の事業展開・ビジョン,有機農業に対する考えや取り組み,作物種別,体験可能作目,体験場所,体験担当者,受入可能時期と内容,1回の受入可能期間,高校生の受入,社会人の週末等コースの受入,提供できる住居,食事提供の方法,採用計画,アクセス,自動車免許,服装など準備すべき物,登録にあたっての考え,参加者の目的で重視すること,メッセージ：どんなことを学べるか
484,（有）鈴木養鶏場,鈴木　明久,大分県速見郡日出町藤原,http://www.suzuki-egg.jp,71000万円,45人,採卵,6次産業化の深化,,,,,,通年可能,1週間〜,可,可,社宅・寮等,自炊（食材提供）,有,JR杵築駅,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,
485,（有）弦本農園,弦本　満輝,大分県中津市赤迫,,"5,000万円",6人,小ねぎ生産、販売,ビジョンは、九州できらりと光るフルーツ観光農園。生産品目・規模の拡大、直売店・カフェ、レストラン等の拡充、新設を通じて2030年までに売上高３億円の経営目標を達成する。,化学肥料を使わずに栽培,施設による小ねぎ栽培,施設による小ねぎ栽培,,弦本満輝,通年可能：小ネギ生産、出荷作業,2日日〜,不可,不可,経営者宅に間借り,経営者等家族と一緒,有,日豊本線今津駅より車で4分,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,明るく元気な方
486,（有）シードカルチャー,早川　ゆり,宮崎県東諸県郡綾町北俣,http://ayahayakawa.com,"4,000万円",10人,米、麦、ソバ、大豆等の雑穀類と人参、大根、ごぼう、ねぎ、カボチャ、白菜、キャベツ、レタス等の露地野菜など、少量多品目の栽培、加工販売、食農体験イベントの開催,土作りに裏打ちされた「完全無農薬、化学肥料」栽培で安全安心の食料の生産、加工、販売、食育の一環としての「土づくりから収穫、料理」の体験イベントの実施、農家レストランでの食事の提供,土の中の生き物たちへの感謝の念と思いやりを込めた、土中生物のエサである有機質資材の使用,果樹を除く作物は対応できます,果樹を除く作物は対応できます,,早川　ゆり,通年可能：種まき、除草中耕とうの管理、収穫調整、出荷など、1月～6月：苗作り（カボチャ、トマトなど）、玉ねぎと定植（ジャガイモ、カボチャ、トマトなど）、収穫（ジャガイモなど）、7月～12月：種まき（人参・大根・白菜・ゴボウなど）、収穫（カボチャ、ごぼうなど）、田植と収穫、農繁期：7、8月を除く1月～6月と9月～6月まで,5日日〜,可,可,社宅・寮等,その他　自炊（食材提供）、昼食は社内食（日曜日は除く）,有,JR宮崎駅・空港→宮光バス（綾、酒泉の社行き）→綾待合所,必要,農作業に適した服装、長靴、雨合羽、手袋,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験,農業に興味を持っている人ならどなたでもOKです
487,（有）新福青果,新福　朗,宮崎県都城市梅北町,http://www.shinpukuseika.co.jp/,非公表,36人,ごぼう・にんじん・じゃがいも・里芋・らっきょう・加工販売事業・農作業委託事業,「野菜の持つ魅力を最大限に発揮し、家族の食卓を豊かにする」を経営理念に掲げ、データを駆使した新時代農業のトップランナーとして走りつつ、地域の農家の方々とも協力して、野菜を安定的に顧客・消費地に届けていく運営形態の構築を目指します。,取組実績・予定はありません,ごぼう・にんじん・じゃがいも・里芋・らっきょうのいずれか（時期次第）,ごぼう・にんじん・じゃがいも・里芋・らっきょうのいずれか（時期次第）,,栗原　貴史,通年可能。4～5月：里芋・ごぼうの管理、らっきょう・じゃがいもの収穫、6～8月：ごぼう収穫、ごぼう・里芋の収穫・出荷準備、9～10月：里芋収穫・ごぼう植付準備、出荷準備、11～2月：にんじん収穫、2～3月：じゃがいも・里芋植付準備、ごぼう栽培管理。　農繁期 7月、12月,2日日〜,可,可,その他　外部宿泊施設,自炊（食費補助）,有,,なくても可,汚れても良い服装、滑り止め付手袋、長靴、夏は熱中症対策,農業体験・理解者の増加、従業員の確保、体験生の確保,その他　農業法人の経営を学ぶ,大規模露地野菜複合農業に興味のある方
488,（農）日高養豚場,日_　良一,宮崎県宮崎市有田,,"70,500万円",非公表,養豚,安全な豚肉の生産,特になし,養豚,養豚,,,通年可能,2日日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,,,作業服貸与,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,素直な人物
489,（株）指宿やさいの王国,吉元　龍馬,鹿児島県指宿市山川大山,,"34,000万円",30人,生産、販売、集荷、資材販売,農業経験のない素人でも、やればできる事を実践し年商2億までこれた。固定概念にとらわれず夢を見ましょう。,,レタス、キャベツ、リーフ、レタス、オクラ、玉ねぎ、じゃが芋,レタス、キャベツ、リーフ、レタス、オクラ、玉ねぎ、じゃが芋,,吉元　千鶴,通年可能、12月～6月：キャベツ・レタス収穫、9月～1月：キャベツ・レタス定植,2日日〜,可,可,その他　近くのホテル,その他　朝・夜はホテル、昼は弁当,有,西大山駅から徒歩5分,,雨靴,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,やる気のある方
490,農業生産法人えこふぁーむ,中村　えい子,鹿児島県鹿屋市串良町上小原,http://eco-pig.net,"3,500万円",6人,放牧養豚、家畜飼料、野菜等,人に必要とされる会社であること,アニマルウェルフェアー,豚、畑,豚、畑,肝付町,横井　慎治,通年可能：習得したいことを優先します,2日日〜,不可,可,社宅・寮等,自炊（食材提供）,有,車,必要,,農業体験・理解者の増加,農業体験,真面目で素直
491,エンジョイアグリ(株),岡元　和人,鹿児島県指宿市山川小川,,"4,700万円",9人,野菜生産法人(レタス・スナップえんどう・かぼちゃ・オクラ),楽しい農業,,レタス、スナップえんどう、かぼちゃ、オクラ,レタス、スナップえんどう、かぼちゃ、オクラ,,岡元和人、仮屋崎孝,10～3月：植付から収穫まで,2日日〜,,,社宅・寮等,自炊（食費補助）,有,,,,従業員の確保,農業体験、就職先検討,
492,（有）大野原有機農業研究会,新保　重美,鹿児島県志布志市松山町尾野見,,非公表,5人,有機水稲、野菜、肉用牛生産,契約栽培を基本に、自ら価格形成をする,経営の主力品目はすべてJAS有機認証,米、野菜（土物、葉物、果菜）、牛,米、野菜（土物、葉物、果菜）、牛,,新保重美,通年可能：肉用牛の管理、販売（せり市参加）、5月～11月：水稲の栽培管理、販売、オペレーター、2月～6月：じゃがいもの栽培管理、販売、11月～4月：野菜の栽培管理、販売,5日日〜,可,不可,その他　事務所の和室（台所付）,その他　自炊（一部食材提供）,有,JR日南線志布志駅,必要,農作業着、雨具,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,忍耐力、誠実さ、探究心
493,（有）かごしま有機生産組合,大和田　世志人,鹿児島県鹿児島市五ケ別府町,http://kofa.jp/,"76,000万円",73人,有機農産物生産（畑作・野菜）、卸し、小売、有機農産物の加工品製造販売,有機農業の生産、普及を目指して1984年に創業し、日本全国の生協や消費者団体に、有機農産物を提供しています。今後は海外での事業も展開予定,有機農産物の取扱いのみ,玉ねぎ、人参、里芋、深ネギなど野菜全般,玉ねぎ、人参、里芋、深ネギなど野菜全般,鹿児島市喜入・伊佐市大口,三箇、川崎,通年可能：季節野菜の種まき、植付、収穫、出荷,5日日〜,不可,不可,社宅・寮等,自炊（食材提供）,有,宿泊地より自動車通勤,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,有機農業に興味のある方
494,（株）カミチクファーム,上村　昌志,鹿児島県鹿児島市上福元町,http://www.kamichiku.co.jp,非公表,115人,肉用牛の飼育、酪農,牛の命に感謝し、たくましく優しい会社を作ります,,酪農、飼育管理,酪農、飼育管理,伊佐市大口小川内1668-1,受付窓口：町永,通年可能：酪農・繁殖・哺育,2日日〜,可,不可,社宅・寮等,その他　昼、夜まかないあり※土日以外,有,基本マイカー、JR出水駅,必要,農作業に適した服装、タオル,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,挨拶、返事、きちんとできる方
495,（有）コセンファーム,古川　拡,鹿児島県出水市高尾野町上水流,http://kosenfarm.com,"40,000万円",10人,採卵鶏、野菜、水稲,生活者においしい食物を提供し喜んでもらえる農業,有機農業実践中,養鶏、野菜,養鶏、野菜,,古川、大城,5～6月・9～3月／5月～6月：ジャガイモ収穫、9月～3月：野菜育苗、植え付け、収穫,1週間〜,,可,経営者宅に間借り,,有,出水駅（新幹線）、高尾野駅（オレンジ鉄道）,必要,農作業に適した服装、タオル,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,心の健康、体の健康に興味のある人
496,（株）さかうえ,坂上　隆,鹿児島県志布志市志布志町安楽,http://www.sakaue-farm.co.jp,"50,000万円",44人,農作物の生産・販売,私たちは、大自然の恵みに感謝し、自己の成長を志し、すべての幸福を追求します。 私たちは、旬をつかみ、幸せをプランし、自然の豊かさをお客様にお届けします。 私たちは、新しい『農業価値』を創造し、地域・社会に貢献します。,減農薬栽培やIPMの手法を採用している 段階である,ケール、キャベツ、馬鈴薯、ピーマン,ケール、キャベツ、馬鈴薯、ピーマン,,坂上　宏一郎,通年可能：その時期の作物の栽培にかかわる作業、業務全般、農繁期：10月～4月,3日日〜,可,可,社宅・寮等,自炊（食費補助）,有,JR志布志駅よりタクシーで10分,なくても可,農作業に適した服装（長袖・長ズボン）、長靴、雨合羽、生活用品（シャンプー、タオル等）,従業員の確保,就職先検討,何事にも積極的で前向きに対応できる方
497,（有）シャロン農園,徳永　哲秀,鹿児島県大島郡与論町茶花,http://sharon-nouen.com/,800万円,6人,熱帯果樹(マンゴー、パッションフルーツ、ドラゴンフルーツ、バナナ等),海に囲まれた小さな島から、島の生活の魅力と農業の魅力を発信。,人々の健康を守り、島の自然を守る。,熱帯果樹、インゲン等有機野菜,熱帯果樹、インゲン等有機野菜,,和宇慶　朝幸,通年可能：施肥、樹園管理、収穫、発送、販売,3日日〜,可,可,社宅・寮等,自炊（食費補助）,有,島内は車かバイク、自転車。宿泊場所から自転車、徒歩（約10分）,なくても可,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,明朗活発。
498,(有)西牟田農園,西牟田　峰男,鹿児島県南九州市頴娃町別府,http://www.nisimuta-farm.com/,"19,000万円",10人,露地野菜,農業に対する理解,,大根、人参,大根、人参,鹿児島農場、北海道農場,西牟田　りえ子,通年可能：収穫、植え付け全般,2日日〜,可,可,社宅・寮等 　社宅・寮等、経営者宅に間借り,その他　経営者家族と一緒、自炊（食材提供）、自炊（食費補助）,有,JR石垣駅、またはJR喜入駅,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,明るい人、活動的、コミュニケーションのとれる人
499,（農）ねじめ農園,肥後　隆志,鹿児島県肝属郡南大隈町根占川北,http://www.sea-ag.com,6600万円,7人,サツマイモ、ジャガイモ、落花生、トウモロコシ、その他野菜,農業を通して、モノ作り、ヒト作り、地域作り、循環型農業を目指しています。,徐々に化学肥料や農薬を減らしている,経営作目全部,経営作目全部,,肥後玄十（ゲント）,通年可能：植え付け、収穫、箱詰め、袋詰め、他）,5日日〜,可,不可,社宅・寮等,経営者等家族と一緒,有,鹿児島空港からリムジンバスで鹿屋市まで。(鹿屋バス停まで迎えに行きます),,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,真面目にコツコツと！！
500,（株）日野洋蘭園,柴嵜　喜好,鹿児島県薩摩郡薩摩町中津川,http://www.hinoyouran.co.jp/,"49,700万円",78人,胡蝶蘭の切花、アイビー等の切葉生産,その心に感動を。その瞬間に安らぎを。,,,,,,通年可能,2日日〜,可,可,その他　宿泊先紹介,自炊（食費補助）,有,鹿児島空港よりバス25分、さつま町役場前下車,,,,その他　従業員の確保,
501,（有）マルユ湯通堂青果,湯通堂　巧,鹿児島県指宿市十町,https://www.yuthudo.co.jp/,"350,000万円",40人,農産物の生産・卸売業（オクラ、スナップエンドウ、キャベツなど）,指宿地区の農業の発展,緑肥の生産,キャベツ、えだまめ、スナップエンドウ,キャベツ、えだまめ、スナップエンドウ,,湯通堂　平,2～3月：スナップエンドウの梱包、キャベツの収穫、えだまめの播種作業,2日日〜,不可,可,社宅・寮等,自炊（食費補助）,有,,,,従業員の確保,農業体験、就職先検討,元気のある人
502,村商(株),新村　順一郎,鹿児島県肝属郡肝付町後田,https://shinmurachikusan.com/,120000万円,47人,畜産（生産、卸、販売）,全ての人の感謝をエネルギーに！幸せの時間を一人でも多くの皆様へ,スマート農業,米、牧草、和牛生産など,米、牧草、和牛生産など,新村牧場（肝付町前田49-1）,窪,通年可能：牛の世話,2日日〜,可,可,社宅・寮等,その他　飲食店の経営もしている為、そちらで可能,無,,必要,農作業に適した服装、長靴,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,畜産（牛）に興味のある方
503,（株）東山ベジフル,大西　新,大阪府八尾市郡川,https://www.facebook.com/higashiyama.vegefru,1000万円,7人,にんじん、たまねぎなど露地野菜、卸も一部,会社規模はまだまだ小さいですが、人参を通年出荷できるような作付け体制を組んでいます。マーケティングを重要視しているので他とは違った農業への取り組み方をしています。,安心安全で高付加価値の野菜生産を目指しています。有機が日本農業をよくするとの考えで行っています。,有機、露地野菜,有機、露地野菜,鹿児島県屋市串良町有里,柳澤壽利,通年可能：播種、収穫、管理、発送など時期により変わります、農繁期：1月～4月,4日日〜,不可,不可,その他　宿泊施設,その他　経営者等家族と一緒、自炊（食費補助）,有,鹿児島空港よりバス90分、志布志港より40分、鹿児島中央駅よりバス90分,,,従業員の確保,就職先検討,20～30代で誠実で真面目な方、車の免許ある方、農業経営者になりたい方
504,(有)大崎農園,山下　義仁,鹿児島市曽於郡大崎町横瀬,http://www.oosaki-farm.com/,"65,000万円",45人,"ハウス小ねぎ周年栽培（２ha）,青首大根100ha,キャベツ10ha",鹿児島の大地から情熱を込めた野菜生産,GGAPに取り組んでいます,青首大根、小ねぎ,青首大根、小ねぎ,鹿児島市曽於郡大崎町永吉近辺,山下　義仁,通年可能：小ねぎの収穫・出荷作業、9～12月：大根播種・機械作業・管理作業、11～5月：大根キャベツ収穫体験・選別出荷作業、農繁期：11月～5月,2日日〜,可,不可,その他　大崎町内の旅館,その他　大崎町内の旅館,有,鹿児島空港より車で1時間30分程度。鹿屋バスセンターより大崎まで鹿屋バスで30分程度。志布志フェリー乗り場より車で２０分程度（お迎え有）,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,笑顔で好奇心が旺盛な方
505,（株）琉宮青果,海老原　英雄,沖縄県那覇市曙,,"15,000万円",7人,青果栽培・卸売・小売,沖縄の安全・安心で美味しい青果物を栽培し全国へ,減農薬栽培,マンゴー、カボチャ,マンゴー、カボチャ,宮古島市城辺比嘉,奥平博一,通年可能：マンゴー栽培、7月～8月：マンゴー収穫,2日日〜,不可,不可,経営者宅に間借り,経営者等家族と一緒,有,比嘉,,農作業に適した服装,従業員の確保,農業体験、就職先検討,明るく元気な方
506,,,,,,,,,,,,,,,日〜,,,,,,,,,,,
507,,,,,,,,,,,,,,,日〜,,,,,,,,,,,
508,（株）藤本農園,藤本　聡,広島県庄原市東城町粟田,https://www.aigamoya.net,5，000万円,7人,水稲の生産・販売、和牛の繁殖,『一粒万笑』一粒のお米から万の笑顔を。顔と顔の見える関係を大切に消費者交流や食育も積極的に取り組んでいます。,減農薬栽培やアイガモ農法の無農薬米,水稲(アイガモ農法)、和牛繁殖,水稲(アイガモ農法)、和牛繁殖,,藤本　聡,3月～11月 ：稲の生育に伴い、田植、草刈、防除、アイガモ飼育、稲刈りなど,2日〜,可,可,経営者宅に間借り,自炊（食材提供）,有,自家用車、最寄り駅は芸備線東城駅、広島市内からは高速バスが東城行もあります。,必要,自分の足に合う長靴をご用意ください,従業員の確保,就職先検討,合鴨による有機栽培技術と最新の農業機械の体験。経営から販売まで幅広く学べます
509,伊藤農園,伊藤　将宏,熊本県山鹿市鹿本町庄,http://itofarm.org/,1，000万円,2人,有機イチゴ,「有機農業の実践」と「子育て」の両立。有機農業だけでの経営的自立の実現。,自然環境にやさしい有機農業を実践し、環境保全に貢献しつつ経営的な自立と拡大を図っていきます。,イチゴ,イチゴ,,伊藤　将宏,通年可能：イチゴ栽培にかかる作業全般（夏季は苗づくり、冬季は収穫、パック詰め、手入れ）農繁期：9月～5月,2日〜,可,可,その他　通いのみ受入可,自炊（食材提供）,有,山鹿バスセンター,なくても可,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,いちごの有機栽培を行っている農家は県内でも珍しいので貴重な体験ができると思います。
510,（有）松山ファーム,松山哲治,長崎県雲仙市愛野町,https://www.matuyamafarm.biz/,2億5千万円,17名,43ha露地・13haハウス栽培,納入企業へ「商品の安全・安心・約束」が経営理念,消費者に受け入れられる農産物栽培,レタス・かぼちゃ・じゃがいも,レタス・かぼちゃ・じゃがいも,長崎県雲仙市愛野町,,通年可能（要相談）9月～3月 （体験内容：ハウス施設等レタス栽培）農繁期 10月～4月,2日〜,可,可,その他　検討中,その他　弁当,有,島原鉄道　愛野駅,なくても可,,従業員の確保,就職先検討,外国人就業者とのかかわり、農業からビジネス思考の実践、これからの農業経営
511,（株）堀内果実園,堀内　俊孝,奈良県五條市西吉野町平沼田,https://horiuchi-fruit.jp/,20，000万円,11人,果樹専門農業、果実栽培と加工製造,果樹の栽培、販売から加工品製造、カフェ営業などを通してくだものの促進を考える,有,柿、ブルーベリー、梅,柿、ブルーベリー、梅,,岩堀,通年可能：果樹栽培、収穫、加工品パック詰めなど,2週間〜,可,可,社宅・寮等,自炊（食費補助）,,五條駅,なくても可,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,収穫作業だけでなく、加工、出荷までの一連の流れを学べます
512,（有）サポートいび,堀尾　茂之,岐阜県揖斐郡池田町上田,http://www.support-ibi.jp/,30，436万円,31人,野菜（ｻﾂﾏｲﾓ､ｷｬﾍﾞﾂ､ﾄｳﾓﾛｺｼ､ﾈｷﾞ他）、米、麦、大豆等の栽培、農産物加工,地域農業を守るために多様な農業経営を目指す,ﾊﾞｲｵｽﾃｨﾐﾗﾝﾄ資材による減農薬,露地野菜、茶、柿、米など（時期により異なります）,露地野菜、茶、柿、米など（時期により異なります）,揖斐郡内の管理圃場,野菜：高橋、水谷、茶：河瀬、米：河野、機械：松野、柿：乾,通年可能（野菜の育苗～日常管理、収穫・出荷、加工など)、4月～3月（ｻﾂﾏｲﾓ：苗作り～定植、管理、収穫、干し芋づくり)、5月～ 10月（茶：茶園管理、収穫、茶工場見学、和紅茶作り）、農繁期4月～　12月,日〜,不可,不可,社宅・寮等,自炊（食費補助）,有,JR大垣駅　又は　養老鉄道北池野駅　送迎可,必要,長靴、手袋、雨具、着替え、タオル,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討のどちらでもよい,様々な作物での体験を通じて自分の進むべき方向性が見つかります。
513,（株）あんちゃんふぁーむ,安崎　浩二,徳島県板野郡藍住町乙瀬字中田,http://www.anchan-farm.com,,9人,にんじん、えだまめ、だいこん、水稲、ハウス野菜,新作物の栽培を先導している。また、日本の農業者を一人でも多く増やせるように、誠心誠意取り組んでいる。,,にんじん、えだまめ、だいこん、水稲、ハウス野菜,にんじん、えだまめ、だいこん、水稲、ハウス野菜,,安崎浩二、安崎三代子,通年可能,2日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,,必要,農作業に適した服装、長靴、雨具、手袋、水筒,従業員の確保,就職先検討,自分に農業できるのか？どのようなことをするのか？弊社に就農したい！などなど理由は様々だと思いますが、自分が抱えているものが一つでも解決する手助けになったらいいなと思っています。
514,（同）旭,吉本　香織,大阪市都島区高倉町,https://morinomiyako-waribashi.or.jp/category02/index.html,500万円,2人,施設野菜、露地野菜,地域の有機質肥料を活用しているこだわりの農業法人として地域に密着し、地域に必要とされる企業を目指しております。,健康志向の高まりから、有機農業に対する注目が集まっている現状はありますが、計画的に肥料や農薬を使用することも品質の安定や消費者の安心安全につながると考えております。,施設野菜、露地野菜,施設野菜、露地野菜,奈良県御所市南郷,森田繁治,通年可能：圃場の整備、青ネギやキュウリの収穫出荷作業体験など,2日〜,可,不可,その他　通いのみ受入（最寄り駅から送迎）,自炊（食費補助）,有,御所駅、大和高田駅より定時送迎あり。自家用車での通所も可（駐車場3台程度まで）,なくても可,動きやすい服装（Tシャツは着替えも含めて数枚準備）、長靴、滑り止めのついた手袋（軍手ではなく指を動かしやすいもの推奨）、プラスチックコップ、日焼け・熱中症対策、防寒着（冬季）,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,弊社では就労支援として障害をお持ちの方を積極的に受け入れております。働く仲間として尊重しつつ農業体験にお越しいただければ幸いです。
515,クルンノウエン,茅畑　孝篤,熊本県荒尾市平山,https://www.facebook.com/takashige.kayahata,450万円,2人,野菜栽培（20品目）、農業体験農園,無肥料、無農薬、無防虫の栽培を実践し、地域に根差し、地域と連携できる農園でありたいと願います。<BR>アグロエコロジーを意識した自然生態系模倣型の農業を実践。,肥料、農薬を使用せず、防虫作業を行わない。<BR>近隣で入手可能な本来廃棄される予定の有機物（菌床、もみ殻、河川敷の刈草等）を最大限活用し、安定した品質の農産物を栽培。<BR>,たまねぎ、ジャガイモ、ナス等20品目,たまねぎ、ジャガイモ、ナス等20品目,,茅畑,通年可能：無肥料、無農薬栽培を実現可能にするための土づくり、土壌管理のための作業。作物の各種栽培、管理作業,4日〜,可,可,経営者宅に間借り,経営者等家族と一緒,無,自家用車,なくても可,汚れてもよい作業着、長靴等,農業体験・理解者の増加,農業体験,栽培前の土づくりですべてが決まります。自然の生態系に根差した土づくりを学んでいただきます
516,上田農園,上田　潤一郎,熊本県上益城郡山都町小笹,,1200万円,3人,米、ニンジン、里芋、タマネギ、レタスなど<BR>,有機無農薬栽培<BR>,安心・安全な農作物<BR>,全て,全て,,上田恵美,3月～12月（農繁期：5月～1月）,2日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,バス・自動車,必要,,農業体験・理解者の増加,農業体験、就職先検討,農業への理解
517,個人農家ほしの,星野　隆治,福岡県朝倉市長田,https://noukahoshino.jimdofree.com/,4，000万円,8人,野菜（主にキャベツ、ほうれん草、他時季野菜）と米の生産・出荷・販売,1．個人の力・アイデアを生かし消費者個人に近い農業。<BR>2．企業として成長遂げても、農業を通じ人との繋がりを大切にする。<BR>3．世の中の人が食に興味を持ち、心豊かになる農業自然情報の提供。,隣接する他農家と大地・水を共有している為、有機栽培や無農薬農法は難しいのが現状。品目により無農薬栽培等はあります。,キャベツ、葉物野菜,キャベツ、葉物野菜,,星野純子,通年可能：種まき定植、収穫、野菜の揃え作業、出荷準備,3日〜,可,可,その他　新型コロナウイルス対策のため、当面は近隣からの通いのみ受入（県内でも遠方の方はホテルへの宿泊）,その他　農園社員食を利用している社員と一緒に食事,有,西日本鉄道甘木線　本郷駅「大堰駅」、西鉄バス「高速甘木駅」「甘木バスセンター」,必要,あれば作業服（帽子・手袋・長靴含む）、ない場合は一部支給します,従業員の確保,農業体験、就職先検討,農園で働く20～70代全スタッフに共通することは、野良仕事が好きな事・人が喜ぶものを作る気持ちです。これから一緒に働くかもしれない仲間として、そうした考え方があり生産から流通まで学ぶ気持ちがある方を歓迎します。
518,農地所有適格法人（有）ワタミファーム(倉渕農場),西岡　亨祐,群馬県高崎市倉渕町権田,http://www.watamifarm.co.jp,外部公表していないため非開示,外部公表していないため非公表,畑作,未来の食の安全と安心、環境を守るため、生命を循環させ、有機農業を発展させていくこと,生きている土から、生きている作物や動物から自然の恵みをいただき、それを食べることで我々も生かされている、それが生命を守る事業、生命を循環させる事業である有機農業と考えます。,キャベツ、大根、菊芋,キャベツ、大根、菊芋,倉渕（群馬）,原（倉渕）,5月～11月 （キャベツ、大根、菊芋（露地）の栽培全般）,2日〜,不可,可,その他　近隣の民泊利用,自炊（食費補助）,有,安中榛名駅（群馬県）送迎可能,必要,農作業に適した服装（着替え、手袋、長靴、帽子、水筒）,従業員の確保,就職先検討,会社経営として有機農業の実践方法を学べます。
519,椿園（株）,佐藤　幹大,愛知県稲沢市祖父江町本甲大溝,https://www.satotsubakien.com/,3，600万円,8人,椿樹木（鉢物～成木）、養蜂事業（蜂蜜生産・西洋みつばちの飼育）<BR>,「共生」という理念のもと、日本で唯一の椿観光農園を目指して事業規模を拡大しています。<BR>,特になし,椿樹木生産、西洋みつばち飼育管理,椿樹木生産、西洋みつばち飼育管理,,佐藤　幹大,通年可能：椿の生産・出荷、西洋みつばち飼育管理、3月～6月（椿の植替え作業、管理業務、養蜂事業部採密作業）、10月～4月（椿の植替え作業、出荷業務、観光農園案内、動画作成編集）,5日〜,可,不可,経営者宅に間借り,自炊（食費補助）,有,名鉄尾西線　森上駅徒歩5分（自動車可、駐車場有）,必要,作業しやすい服装（ジーパン等もOK）と長靴等,従業員の確保,就職先検討,野菜や果樹ではない鑑賞樹を生産しており、高付加価値な商品展開を学ぶことができます。
520,（株）尾野農園,尾野弘季,香川県善通寺市稲木町,http://www.ono-farm.com/,1億9000万,20名,青ねぎ、ブロッコリー、コーン,地域社会に貢献していくために組織的な農業を目指す！！,,青ねぎ,青ねぎ,,尾野,通年可能,3日〜,可,可,その他　ホテル,自炊（食費補助）,有,金蔵寺駅,必要,,従業員の確保,就職先検討,
521,大平やさい（株）,大平　尚志,香川県観音寺市大野原町大野原,http://oohirayasai.com,2億1千万円,22人,水稲、結球レタス、キャベツ、青ネギ、玉ネギ、ニンニク、スイートコーン、ロメインレタス,果実よりおいしい野菜を作る会社,減農薬・減肥等の実施はしています,時期により作目は変わる,時期により作目は変わる,,大平　文子,通年可能：圃場での農業体験や出荷調整体験等です,2日〜,可,可,社宅・寮等,自炊（食費補助）,有,,なくても可,長靴（必須）、汚れても良い動きやすい服装,従業員の確保,就職先検討,真剣に農業を考えている方のご応募お待ちしています
522,芳泉農園(株),芳賀　光章,宮城県登米市米山町桜岡今泉,,3，000万円,3人,キャベツ、トマト、レタス、水稲,お客様に安心でしかも安く提供できるようにします。,堆肥の活用をしています。,野菜、米,野菜、米,,芳賀　光章,4~11月：種まき、田植え、野菜定植、野菜収穫など,3日〜,可,可,経営者宅に間借り,自炊（食費補助）,有,,なくても可,長靴、手袋,農業体験・理解者の増加,農業体験、就職先検討,
523,農事組合法人　香花園,谷口　伸輔,香川県高松市塩江町安原下,,1億7，010万円,31人,カーネーション切花生産・苗生産・新品種育成<BR>,よろこび・あんしん・わくわくの感動経営<BR>,カーネーションをコンポスト化して循環型の土壌作りを実施<BR>,カーネーションの苗生産、カーネーションの切り花生産,カーネーションの苗生産、カーネーションの切り花生産,,真鍋佳亮,3月～6月 （ 切り花カーネーションの挿し木、苗づくり、植え替えの準備）、8月～9月 （ ポットカーネーションの挿し木、苗づくり）,5日〜,可,不可,経営者宅に間借り,経営者等家族と一緒,有,バス、電車（乗り場から遠いので自家用車が望ましい）,なくても可,動きやすい服装、長靴、帽子、薄手の手袋,従業員の確保,就職先検討,花を生産する方法、社会における花産業の役割、農産物を生産することの喜び
524,ミヤザキファーム,宮崎　修,熊本県八代郡氷川町網道,,5，000万円,7人,ミニトマト・カラフルトマト・メロンの栽培と販売<BR>,働く人にも環境にも優しく持続的な農業<BR>,なるべく自然や環境に優しいものを使っています<BR>,ミニトマト・メロン・カラフルトマト,ミニトマト・メロン・カラフルトマト,,宮崎悦子,11月～6月末　（ミニトマトやメロンの収穫・管理・パック詰めなど）　農繁期2月～6月,2日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,車またはJR 有佐駅・松橋駅,なくても可,身分を証明できるもの,農業体験・理解者の増加,農業体験,日本で一番生産量の多い熊本のトマトの生産地ならではの栽培方法はもちろん直接販売なのでお客さんへどうやって届けているかまで見られます。※コロナが落ち着くまでは受入休止
